,Date,High
410,1982-07-29,0.241071
411,1982-07-30,0.243304
412,1982-08-02,0.25
413,1982-08-03,0.234375
414,1982-08-04,0.232143
415,1982-08-05,0.223214
416,1982-08-06,0.220982
417,1982-08-09,0.223214
418,1982-08-10,0.236607
419,1982-08-11,0.238839
420,1982-08-12,0.236607
421,1982-08-13,0.236607
422,1982-08-16,0.241071
423,1982-08-17,0.258929
424,1982-08-18,0.256696
425,1982-08-19,0.258929
426,1982-08-20,0.265625
427,1982-08-23,0.27678600000000003
428,1982-08-24,0.290179
429,1982-08-25,0.310268
430,1982-08-26,0.319196
431,1982-08-27,0.303571
432,1982-08-30,0.30803600000000003
433,1982-08-31,0.32366100000000003
434,1982-09-01,0.314732
435,1982-09-02,0.328125
436,1982-09-03,0.330357
437,1982-09-07,0.3125
438,1982-09-08,0.32366100000000003
439,1982-09-09,0.31696399999999997
440,1982-09-10,0.325893
441,1982-09-13,0.328125
442,1982-09-14,0.33928600000000003
443,1982-09-15,0.337054
444,1982-09-16,0.328125
445,1982-09-17,0.319196
446,1982-09-20,0.321429
447,1982-09-21,0.328125
448,1982-09-22,0.337054
449,1982-09-23,0.337054
450,1982-09-24,0.325893
451,1982-09-27,0.328125
452,1982-09-28,0.33258899999999997
453,1982-09-29,0.330357
454,1982-09-30,0.328125
455,1982-10-01,0.334821
456,1982-10-04,0.337054
457,1982-10-05,0.34375
458,1982-10-06,0.361607
459,1982-10-07,0.392857
460,1982-10-08,0.421875
461,1982-10-11,0.441964
462,1982-10-12,0.43526800000000004
463,1982-10-13,0.433036
464,1982-10-14,0.426339
465,1982-10-15,0.41964300000000004
466,1982-10-18,0.421875
467,1982-10-19,0.433036
468,1982-10-20,0.457589
469,1982-10-21,0.477679
470,1982-10-22,0.477679
471,1982-10-25,0.464286
472,1982-10-26,0.43973199999999996
473,1982-10-27,0.45089300000000004
474,1982-10-28,0.453125
475,1982-10-29,0.453125
476,1982-11-01,0.48214300000000004
477,1982-11-02,0.526786
478,1982-11-03,0.549107
479,1982-11-04,0.569196
480,1982-11-05,0.549107
481,1982-11-08,0.542411
482,1982-11-09,0.537946
483,1982-11-10,0.5625
484,1982-11-11,0.589286
485,1982-11-12,0.607143
486,1982-11-15,0.584821
487,1982-11-16,0.566964
488,1982-11-17,0.5625
489,1982-11-18,0.569196
490,1982-11-19,0.564732
491,1982-11-22,0.551339
492,1982-11-23,0.53125
493,1982-11-24,0.544643
494,1982-11-26,0.533482
495,1982-11-29,0.524554
496,1982-11-30,0.571429
497,1982-12-01,0.602679
498,1982-12-02,0.589286
499,1982-12-03,0.573661
500,1982-12-06,0.602679
501,1982-12-07,0.618304
502,1982-12-08,0.622768
503,1982-12-09,0.582589
504,1982-12-10,0.553571
505,1982-12-13,0.517857
506,1982-12-14,0.542411
507,1982-12-15,0.508929
508,1982-12-16,0.522321
509,1982-12-17,0.542411
510,1982-12-20,0.540179
511,1982-12-21,0.540179
512,1982-12-22,0.555804
513,1982-12-23,0.571429
514,1982-12-27,0.587054
515,1982-12-28,0.602679
516,1982-12-29,0.582589
517,1982-12-30,0.566964
518,1982-12-31,0.542411
519,1983-01-03,0.540179
520,1983-01-04,0.540179
521,1983-01-05,0.544643
522,1983-01-06,0.542411
523,1983-01-07,0.526786
524,1983-01-10,0.517857
525,1983-01-11,0.526786
526,1983-01-12,0.5625
527,1983-01-13,0.553571
528,1983-01-14,0.589286
529,1983-01-17,0.618304
530,1983-01-18,0.622768
531,1983-01-19,0.607143
532,1983-01-20,0.667411
533,1983-01-21,0.696429
534,1983-01-24,0.667411
535,1983-01-25,0.669643
536,1983-01-26,0.6875
537,1983-01-27,0.732143
538,1983-01-28,0.75
539,1983-01-31,0.743304
540,1983-02-01,0.745536
541,1983-02-02,0.78125
542,1983-02-03,0.799107
543,1983-02-04,0.810268
544,1983-02-07,0.796875
545,1983-02-08,0.765625
546,1983-02-09,0.758929
547,1983-02-10,0.808036
548,1983-02-11,0.84375
549,1983-02-14,0.830357
550,1983-02-15,0.8325889999999999
551,1983-02-16,0.810268
552,1983-02-17,0.794643
553,1983-02-18,0.819196
554,1983-02-22,0.8526790000000001
555,1983-02-23,0.841518
556,1983-02-24,0.8638389999999999
557,1983-02-25,0.8683040000000001
558,1983-02-28,0.8370540000000001
559,1983-03-01,0.8325889999999999
560,1983-03-02,0.8392860000000001
561,1983-03-03,0.84375
562,1983-03-04,0.810268
563,1983-03-07,0.799107
564,1983-03-08,0.776786
565,1983-03-09,0.779018
566,1983-03-10,0.787946
567,1983-03-11,0.78125
568,1983-03-14,0.754464
569,1983-03-15,0.75
570,1983-03-16,0.776786
571,1983-03-17,0.756696
572,1983-03-18,0.776786
573,1983-03-21,0.787946
574,1983-03-22,0.805804
575,1983-03-23,0.796875
576,1983-03-24,0.779018
577,1983-03-25,0.783482
578,1983-03-28,0.767857
579,1983-03-29,0.787946
580,1983-03-30,0.792411
581,1983-03-31,0.794643
582,1983-04-04,0.754464
583,1983-04-05,0.75
584,1983-04-06,0.723214
585,1983-04-07,0.71875
586,1983-04-08,0.712054
587,1983-04-11,0.747768
588,1983-04-12,0.761161
589,1983-04-13,0.787946
590,1983-04-14,0.805804
591,1983-04-15,0.8236610000000001
592,1983-04-18,0.8549110000000001
593,1983-04-19,0.845982
594,1983-04-20,0.9107139999999999
595,1983-04-21,0.9419639999999999
596,1983-04-22,0.9375
597,1983-04-25,0.9174110000000001
598,1983-04-26,0.904018
599,1983-04-27,0.9129459999999999
600,1983-04-28,0.8973209999999999
601,1983-04-29,0.90625
602,1983-05-02,0.90625
603,1983-05-03,0.877232
604,1983-05-04,0.919643
605,1983-05-05,0.982143
606,1983-05-06,0.9955360000000001
607,1983-05-09,0.986607
608,1983-05-10,0.9888389999999999
609,1983-05-11,0.982143
610,1983-05-12,0.953125
611,1983-05-13,0.9575889999999999
612,1983-05-16,0.9486610000000001
613,1983-05-17,0.9285709999999999
614,1983-05-18,0.9464290000000001
615,1983-05-19,0.96875
616,1983-05-20,1.017857
617,1983-05-23,1.026786
618,1983-05-24,1.080357
619,1983-05-25,1.089286
620,1983-05-26,1.078125
621,1983-05-27,1.0714290000000002
622,1983-05-31,1.058036
623,1983-06-01,1.0401790000000002
624,1983-06-02,1.044643
625,1983-06-03,1.1004459999999998
626,1983-06-06,1.120536
627,1983-06-07,1.129464
628,1983-06-08,1.0870540000000002
629,1983-06-09,1.080357
630,1983-06-10,1.0691959999999998
631,1983-06-13,1.060268
632,1983-06-14,1.03125
633,1983-06-15,0.997768
634,1983-06-16,1.0223209999999998
635,1983-06-17,1.026786
636,1983-06-20,1.0089290000000002
637,1983-06-21,0.9642860000000001
638,1983-06-22,0.9933040000000001
639,1983-06-23,0.984375
640,1983-06-24,0.970982
641,1983-06-27,0.950893
642,1983-06-28,0.904018
643,1983-06-29,0.8861610000000001
644,1983-06-30,0.892857
645,1983-07-01,0.888393
646,1983-07-05,0.8816959999999999
647,1983-07-06,0.8482139999999999
648,1983-07-07,0.8482139999999999
649,1983-07-08,0.8348209999999999
650,1983-07-11,0.861607
651,1983-07-12,0.857143
652,1983-07-13,0.830357
653,1983-07-14,0.8370540000000001
654,1983-07-15,0.8214290000000001
655,1983-07-18,0.794643
656,1983-07-19,0.828125
657,1983-07-20,0.787946
658,1983-07-21,0.792411
659,1983-07-22,0.783482
660,1983-07-25,0.78125
661,1983-07-26,0.774554
662,1983-07-27,0.720982
663,1983-07-28,0.65625
664,1983-07-29,0.629464
665,1983-08-01,0.649554
666,1983-08-02,0.625
667,1983-08-03,0.636161
668,1983-08-04,0.629464
669,1983-08-05,0.616071
670,1983-08-08,0.620536
671,1983-08-09,0.622768
672,1983-08-10,0.618304
673,1983-08-11,0.620536
674,1983-08-12,0.616071
675,1983-08-15,0.613839
676,1983-08-16,0.620536
677,1983-08-17,0.611607
678,1983-08-18,0.604911
679,1983-08-19,0.607143
680,1983-08-22,0.609375
681,1983-08-23,0.600446
682,1983-08-24,0.566964
683,1983-08-25,0.549107
684,1983-08-26,0.553571
685,1983-08-29,0.564732
686,1983-08-30,0.598214
687,1983-08-31,0.665179
688,1983-09-01,0.6875
689,1983-09-02,0.678571
690,1983-09-06,0.709821
691,1983-09-07,0.700893
692,1983-09-08,0.625
693,1983-09-09,0.569196
694,1983-09-12,0.580357
695,1983-09-13,0.580357
696,1983-09-14,0.584821
697,1983-09-15,0.566964
698,1983-09-16,0.537946
699,1983-09-19,0.575893
700,1983-09-20,0.598214
701,1983-09-21,0.582589
702,1983-09-22,0.582589
703,1983-09-23,0.446429
704,1983-09-26,0.462054
705,1983-09-27,0.446429
706,1983-09-28,0.41964300000000004
707,1983-09-29,0.42410699999999996
708,1983-09-30,0.421875
709,1983-10-03,0.41964300000000004
710,1983-10-04,0.421875
711,1983-10-05,0.415179
712,1983-10-06,0.408482
713,1983-10-07,0.42410699999999996
714,1983-10-10,0.359375
715,1983-10-11,0.35491100000000003
716,1983-10-12,0.37946399999999997
717,1983-10-13,0.428571
718,1983-10-14,0.42410699999999996
719,1983-10-17,0.40625
720,1983-10-18,0.37053600000000003
721,1983-10-19,0.397321
722,1983-10-20,0.39508899999999997
723,1983-10-21,0.372768
724,1983-10-24,0.377232
725,1983-10-25,0.390625
726,1983-10-26,0.383929
727,1983-10-27,0.38616100000000003
728,1983-10-28,0.381696
729,1983-10-31,0.410714
730,1983-11-01,0.428571
731,1983-11-02,0.430804
732,1983-11-03,0.421875
733,1983-11-04,0.392857
734,1983-11-07,0.38616100000000003
735,1983-11-08,0.34821399999999997
736,1983-11-09,0.34375
737,1983-11-10,0.359375
738,1983-11-11,0.36383899999999997
739,1983-11-14,0.361607
740,1983-11-15,0.35491100000000003
741,1983-11-16,0.366071
742,1983-11-17,0.37053600000000003
743,1983-11-18,0.372768
744,1983-11-21,0.38616100000000003
745,1983-11-22,0.388393
746,1983-11-23,0.383929
747,1983-11-25,0.368304
748,1983-11-28,0.377232
749,1983-11-29,0.383929
750,1983-11-30,0.375
751,1983-12-01,0.372768
752,1983-12-02,0.361607
753,1983-12-05,0.366071
754,1983-12-06,0.368304
755,1983-12-07,0.383929
756,1983-12-08,0.39508899999999997
757,1983-12-09,0.39508899999999997
758,1983-12-12,0.388393
759,1983-12-13,0.40625
760,1983-12-14,0.421875
761,1983-12-15,0.441964
762,1983-12-16,0.446429
763,1983-12-19,0.446429
764,1983-12-20,0.428571
765,1983-12-21,0.433036
766,1983-12-22,0.441964
767,1983-12-23,0.444196
768,1983-12-27,0.446429
769,1983-12-28,0.45089300000000004
770,1983-12-29,0.45089300000000004
771,1983-12-30,0.446429
772,1984-01-03,0.46651800000000004
773,1984-01-04,0.5
774,1984-01-05,0.517857
775,1984-01-06,0.511161
776,1984-01-09,0.495536
777,1984-01-10,0.493304
778,1984-01-11,0.508929
779,1984-01-12,0.506696
780,1984-01-13,0.504464
781,1984-01-16,0.504464
782,1984-01-17,0.513393
783,1984-01-18,0.522321
784,1984-01-19,0.526786
785,1984-01-20,0.520089
786,1984-01-23,0.520089
787,1984-01-24,0.517857
788,1984-01-25,0.515625
789,1984-01-26,0.5
790,1984-01-27,0.495536
791,1984-01-30,0.475446
792,1984-01-31,0.45089300000000004
793,1984-02-01,0.45535699999999996
794,1984-02-02,0.446429
795,1984-02-03,0.45535699999999996
796,1984-02-06,0.4375
797,1984-02-07,0.433036
798,1984-02-08,0.4375
799,1984-02-09,0.430804
800,1984-02-10,0.446429
801,1984-02-13,0.43973199999999996
802,1984-02-14,0.459821
803,1984-02-15,0.477679
804,1984-02-16,0.45535699999999996
805,1984-02-17,0.464286
806,1984-02-21,0.46875
807,1984-02-22,0.493304
808,1984-02-23,0.488839
809,1984-02-24,0.491071
810,1984-02-27,0.491071
811,1984-02-28,0.484375
812,1984-02-29,0.479911
813,1984-03-01,0.484375
814,1984-03-02,0.5
815,1984-03-05,0.488839
816,1984-03-06,0.48660699999999996
817,1984-03-07,0.475446
818,1984-03-08,0.484375
819,1984-03-09,0.479911
820,1984-03-12,0.491071
821,1984-03-13,0.495536
822,1984-03-14,0.484375
823,1984-03-15,0.48214300000000004
824,1984-03-16,0.495536
825,1984-03-19,0.473214
826,1984-03-20,0.477679
827,1984-03-21,0.475446
828,1984-03-22,0.464286
829,1984-03-23,0.459821
830,1984-03-26,0.46651800000000004
831,1984-03-27,0.462054
832,1984-03-28,0.457589
833,1984-03-29,0.459821
834,1984-03-30,0.45535699999999996
835,1984-04-02,0.45089300000000004
836,1984-04-03,0.448661
837,1984-04-04,0.448661
838,1984-04-05,0.444196
839,1984-04-06,0.43526800000000004
840,1984-04-09,0.433036
841,1984-04-10,0.441964
842,1984-04-11,0.453125
843,1984-04-12,0.464286
844,1984-04-13,0.47098199999999996
845,1984-04-16,0.47098199999999996
846,1984-04-17,0.49776800000000004
847,1984-04-18,0.502232
848,1984-04-19,0.506696
849,1984-04-23,0.520089
850,1984-04-24,0.515625
851,1984-04-25,0.502232
852,1984-04-26,0.533482
853,1984-04-27,0.549107
854,1984-04-30,0.560268
855,1984-05-01,0.59375
856,1984-05-02,0.598214
857,1984-05-03,0.589286
858,1984-05-04,0.564732
859,1984-05-07,0.560268
860,1984-05-08,0.591518
861,1984-05-09,0.613839
862,1984-05-10,0.600446
863,1984-05-11,0.59375
864,1984-05-14,0.573661
865,1984-05-15,0.573661
866,1984-05-16,0.573661
867,1984-05-17,0.544643
868,1984-05-18,0.533482
869,1984-05-21,0.575893
870,1984-05-22,0.569196
871,1984-05-23,0.555804
872,1984-05-24,0.540179
873,1984-05-25,0.533482
874,1984-05-29,0.53125
875,1984-05-30,0.526786
876,1984-05-31,0.53125
877,1984-06-01,0.542411
878,1984-06-04,0.549107
879,1984-06-05,0.520089
880,1984-06-06,0.520089
881,1984-06-07,0.520089
882,1984-06-08,0.515625
883,1984-06-11,0.515625
884,1984-06-12,0.526786
885,1984-06-13,0.533482
886,1984-06-14,0.53125
887,1984-06-15,0.524554
888,1984-06-18,0.53125
889,1984-06-19,0.542411
890,1984-06-20,0.540179
891,1984-06-21,0.546875
892,1984-06-22,0.526786
893,1984-06-25,0.515625
894,1984-06-26,0.488839
895,1984-06-27,0.46875
896,1984-06-28,0.477679
897,1984-06-29,0.495536
898,1984-07-02,0.475446
899,1984-07-03,0.459821
900,1984-07-05,0.45535699999999996
901,1984-07-06,0.45535699999999996
902,1984-07-09,0.47098199999999996
903,1984-07-10,0.484375
904,1984-07-11,0.48660699999999996
905,1984-07-12,0.484375
906,1984-07-13,0.484375
907,1984-07-16,0.47098199999999996
908,1984-07-17,0.464286
909,1984-07-18,0.462054
910,1984-07-19,0.459821
911,1984-07-20,0.459821
912,1984-07-23,0.453125
913,1984-07-24,0.48214300000000004
914,1984-07-25,0.488839
915,1984-07-26,0.493304
916,1984-07-27,0.491071
917,1984-07-30,0.48660699999999996
918,1984-07-31,0.462054
919,1984-08-01,0.459821
920,1984-08-02,0.453125
921,1984-08-03,0.491071
922,1984-08-06,0.544643
923,1984-08-07,0.535714
924,1984-08-08,0.540179
925,1984-08-09,0.535714
926,1984-08-10,0.551339
927,1984-08-13,0.540179
928,1984-08-14,0.540179
929,1984-08-15,0.513393
930,1984-08-16,0.506696
931,1984-08-17,0.504464
932,1984-08-20,0.493304
933,1984-08-21,0.513393
934,1984-08-22,0.522321
935,1984-08-23,0.511161
936,1984-08-24,0.508929
937,1984-08-27,0.502232
938,1984-08-28,0.504464
939,1984-08-29,0.506696
940,1984-08-30,0.49776800000000004
941,1984-08-31,0.484375
942,1984-09-04,0.477679
